TF	target	target_in_MO	GRNboost2_weight	MO_log2FC	MO_abs_diff	MO_change	MACS2_score (chip)
TFAP2E	MMTAG2		9.534662133223517				209.0
TFAP2E	ZSWIM4	zswim4.l	9.45564985712268	0.1558024532737523	166.5	not changed	625.0
TFAP2E	CRABP2		9.261497440564302				66.0
TFAP2E	SOX9	sox9.s	9.235198571967286	-1.5349851484838957	4069.0	decreased	131.0
TFAP2E	SAFB2		8.638031269959432				
TFAP2E	MEIS2		8.510603777953946				645.0
TFAP2E	SOX8	sox8.l	8.498502154546477	-2.8036698752497484	9715.0	decreased	618.0
TFAP2E	SOX8	sox8.s	8.498502154546477	-3.6233357491788194	2485.5	decreased	618.0
TFAP2E	SOX2		8.407629267543813				402.0
TFAP2E	LINS1		8.382854044247868				
TFAP2E	MMP14	mmp14.l	8.311344629987321	-1.322015132686604	2486.5	decreased	702.0
TFAP2E	MMP14	mmp14.s	8.311344629987321	-0.1075446977993327	19.0	not changed	702.0
TFAP2E	PA2G4	pa2g4.l	8.11049484314967	-0.0376930294380064	74.0	not changed	
TFAP2E	PA2G4	pa2g4.s	8.11049484314967	-0.2365040664050309	327.5	not changed	
TFAP2E	ZNF516		8.052247214102012				71.0
TFAP2E	MAP7D1		7.925012783785297				600.0
TFAP2E	HOXB3	hoxb3.s	7.723144882285411	-2.358047520694014	146.5	decreased	201.0
TFAP2E	HOXB3	hoxb3.l	7.723144882285411	-1.5360529002402097	19.0	not changed	201.0
TFAP2E	AMOTL2		7.614770621512128				577.0
TFAP2E	EEF1B2	eef1b2.l	7.564132274074108	0.0568192646015605	208.0	not changed	160.0
TFAP2E	DLC1	dlc1.l	7.542084080152963	-1.938165300941702	818.5	decreased	314.0
TFAP2E	DLC1	dlc1.s	7.542084080152963	-0.5118990385314328	80.5	not changed	314.0
TFAP2E	SNAI1	snai1.s	7.44976383251087	-1.91978758962296	2387.0	decreased	
TFAP2E	KCNK9		7.293839647201882				
TFAP2E	TRIM8		7.196836781594355				155.0
TFAP2E	AKAP2	akap2.l	7.146705516892362	0.2171916405028165	64.5	not changed	264.0
TFAP2E	TRAF4	traf4.s	7.093227088375412	-0.2094533656289497	10.0	not changed	411.0
TFAP2E	TRAF4	traf4.l	7.093227088375412	-1.933039143679354	3472.5	decreased	411.0
TFAP2E	SERPINF1	serpinf1.l	7.0136543019390825	2.1104239896936505	36.5	not changed	
TFAP2E	FRMD4B		7.01298170296144				94.0
TFAP2E	FN1	fn1.l	6.96747782845409	-0.5200188274805478	350.0	not changed	128.0
TFAP2E	FN1	fn1.s	6.96747782845409	-2.3052692770280223	4979.5	decreased	128.0
TFAP2E	NID2	nid2.l	6.921186816982905	-1.3262005483981176	1169.0	decreased	224.0
TFAP2E	NID2	nid2.s	6.921186816982905	-1.611164265921486	299.0	decreased	224.0
TFAP2E	OLFM4	olfm4.l	6.89326396421247	-1.7227226877756303	8032.5	decreased	80.0
TFAP2E	BBX		6.103927731463463				64.0
TFAP2E	UCMA	ucma.l	5.6319398555789535	-1.0	0.5	not changed	339.0
TFAP2E	UCMA	ucma.s	5.6319398555789535	-1.807354922057604	2.5	not changed	339.0
TFAP2E	CYYR1	cyyr1.l	5.566578223884605	1.8973991466312208	332.5	increased	141.0
TFAP2E	CYYR1	cyyr1.s	5.566578223884605	4.66432029233444	170.5	increased	141.0
TFAP2E	HECTD4	hectd4.l	5.377155518124274	-2.277984747299765	308.0	decreased	183.0
TFAP2E	HECTD4	hectd4.s	5.377155518124274	-2.5443205162238103	188.5	decreased	183.0
TFAP2E	CCDC124	ccdc124.l	5.356151774372214	1.0339473319233374	77.0	not changed	202.0
TFAP2E	MARCKSL1	marcksl1.l	5.322114208122686	-1.155511614630064	542.0	decreased	172.0
TFAP2E	MARCKSL1	marcksl1.s	5.322114208122686	0.2445855409423522	332.0	not changed	172.0
TFAP2E	ACD		5.302312472049128				47.0
TFAP2E	AZIN1	azin1.l	5.300523213842848	0.5739788539046307	429.5	not changed	
TFAP2E	AZIN1	azin1.s	5.300523213842848	0.5555280127080404	376.0	not changed	
TFAP2E	HDGF	hdgf.l	5.219087352303007	0.5100647471580115	951.5	not changed	141.0
TFAP2E	HDGF	hdgf.s	5.219087352303007	-0.1279746492226164	191.5	not changed	141.0
TFAP2E	FSTL1	fstl1.l	5.193888385034143	-2.199769512375777	181.5	decreased	305.0
TFAP2E	FSTL1	fstl1.s	5.193888385034143	-1.016159789823818	408.5	not changed	305.0
TFAP2E	NR2F2	nr2f2.l	5.182329294073483	2.363131767163222	443.5	increased	551.0
TFAP2E	NR2F2	nr2f2.s	5.182329294073483	2.7897070562381794	556.0	increased	551.0
TFAP2E	MEF2C	mef2c.s	5.178852244086085	-2.928107081518214	238.0	decreased	479.0
TFAP2E	MEF2C	mef2c.l	5.178852244086085	-2.120385540640997	264.5	decreased	479.0
TFAP2E	TFAP2C		5.06944156929661				179.0
TFAP2E	GMNN	gmnn.l	5.011002404365517	-0.1010001900109468	59.5	not changed	
TFAP2E	GMNN	gmnn.s	5.011002404365517	1.1136957456468892	653.0	increased	
TFAP2E	ARL4A	arl4a.l	4.980162203451719	0.0137921459796968	14.5	not changed	343.0
TFAP2E	ARL4A	arl4a.s	4.980162203451719	-0.4323154907106792	493.0	not changed	343.0
TFAP2E	NRP1		4.937207565087654				262.0
TFAP2E	TMEM116	tmem116.l	4.929478589976279	-0.9688053783964058	89.5	not changed	189.0
TFAP2E	TMEM116	tmem116.s	4.929478589976279	-2.879354645920139	852.0	decreased	189.0
TFAP2E	MKL2		4.926145569896874				343.0
TFAP2E	POLR2D	polr2d.l	4.811181501380363	0.2578155168836767	144.5	not changed	311.0
TFAP2E	ERBB3	erbb3.l	4.720135127273897	-2.389211511910939	328.5	decreased	194.0
TFAP2E	ERBB3	erbb3.s	4.720135127273897	-1.7506405310632829	74.5	decreased	194.0
TFAP2E	NOL8		4.701299244450786				
TFAP2E	TMBIM1	tmbim1.l	4.678790161814909	-1.0519946376382614	117.0	not changed	123.0
TFAP2E	TMBIM1	tmbim1.s	4.678790161814909	-3.426264754702098	39.0	not changed	123.0
TFAP2E	MIC13		4.630807694328556				201.0
TFAP2E	EDNRA	ednra.s	4.60439290957324	-1.6231153236803362	737.5	decreased	379.0
TFAP2E	EDNRA	ednra.l	4.60439290957324	-2.584962500721156	2.5	not changed	379.0
TFAP2E	ATP13A3		4.604246392670972				82.0
TFAP2E	AKT1S1	akt1s1.s	4.580830035679079	0.985476101757218	293.5	not changed	51.0
TFAP2E	AKT1S1	akt1s1.l	4.580830035679079	0.1687736743235537	60.5	not changed	51.0
TFAP2E	EXOSC7		4.578930072826553				
TFAP2E	FLI1	fli1.l	4.444204869054728	-3.807354922057604	6.5	not changed	
TFAP2E	FLI1	fli1.s	4.444204869054728	-1.5849625007211563	1.0	not changed	
TFAP2E	NUPR1		4.440585914500913				109.0
TFAP2E	MIF		4.41268121451524				
TFAP2E	CTBS	ctbs.s	4.411235678121613	-0.3806442105465423	78.5	not changed	84.0
TFAP2E	CTBS	ctbs.l	4.411235678121613	0.2016338611696504	3.0	not changed	84.0
TFAP2E	GBA3	gba3.l	4.40020893989488	-1.630766190334281	65.0	decreased	204.0
TFAP2E	MMP28	mmp28.l	4.3888623511189575	-2.6566982543200703	902.0	decreased	555.0
TFAP2E	MMP28	mmp28.s	4.3888623511189575	1.1873701359017217	87.5	not changed	555.0
TFAP2E	STMN1	stmn1.l	4.358105784341312	-0.2915167819912683	146.0	not changed	273.0
TFAP2E	STMN1	stmn1.s	4.358105784341312	-0.356508326597507	52.0	not changed	273.0
TFAP2E	HNRNPU		4.344958698009968				241.0
TFAP2E	ZEB2		4.330132797901084				658.0
TFAP2E	ID3		4.306203596333323				342.0
TFAP2E	TMCC1	tmcc1.l	4.301043729913264	0.0222201648415631	3.5	not changed	189.0
TFAP2E	TMCC1	tmcc1.s	4.301043729913264	-1.2273501411324157	334.0	not changed	189.0
TFAP2E	FAU		4.271300967980746				118.0
TFAP2E	LRP8	lrp8.l	4.265312644405674	0.4139843323309377	1252.5	not changed	
TFAP2E	LRP8	lrp8.s	4.265312644405674	-0.3219280948873623	0.5	not changed	
TFAP2E	GTSF1		4.258578366725745				
TFAP2E	SURF6	surf6.l	4.245013991393745	-0.2844664080671303	508.5	not changed	
TFAP2E	HDAC7	hdac7.s	4.227340486892947	-2.625604485218502	181.0	decreased	75.0
TFAP2E	HDAC7	hdac7.l	4.227340486892947	-0.1480986389891339	32.0	not changed	75.0
TFAP2E	KLB	klb.l	4.215913354548797	-4.437405312307298	31.0	not changed	240.0
TFAP2E	KLB	klb.s	4.215913354548797	-3.380821783940931	56.5	decreased	240.0
TFAP2E	ACKR3	ackr3.l	4.186398294642736	2.0966357830451194	136.0	increased	
TFAP2E	ACKR3	ackr3.s	4.186398294642736	1.4323847428427403	79.0	not changed	
TFAP2E	DDX46		4.175205413274988				96.0
TFAP2E	TPM1		4.1590108938748				454.0
TFAP2E	HNRNPA2B1		4.141389672373536				96.0
TFAP2E	SMTN		4.124360177593439				618.0
TFAP2E	UBB		4.110372143175048				209.0
TFAP2E	NAA25	naa25.l	4.107221382022433	-0.710493382805015	504.0	not changed	158.0
TFAP2E	NAA25	naa25.s	4.107221382022433	-0.6985139847638764	215.5	not changed	158.0
TFAP2E	NAT10	nat10.l	4.065077594782588	-0.3824308092944981	927.0	not changed	152.0
TFAP2E	FXYD3		4.052851219895008				350.0
TFAP2E	NFU1	nfu1.l	4.046014227887283	-3.0	3.5	not changed	
TFAP2E	NFU1	nfu1.s	4.046014227887283	0.1287333141222027	42.0	not changed	
TFAP2E	EIF5B		4.039263295739789				
TFAP2E	HOXA7	hoxa7.l	3.993914204973084	1.0	0.5	not changed	99.0
TFAP2E	HOXA7	hoxa7.s	3.993914204973084	-1.0	0.5	not changed	99.0
TFAP2E	FERMT2		3.889579060734003				414.0
TFAP2E	TNC		3.865639567879049				186.0
TFAP2E	TALDO1		3.837954775067016				
TFAP2E	PLEKHA1	plekha1.l	3.822881583383563	-0.8049840175948573	32.5	not changed	
TFAP2E	PLEKHA1	plekha1.s	3.822881583383563	-1.3625700793847082	22.0	not changed	
TFAP2E	HOXD3	hoxd3.l	3.687704038870567	1.3841434913330604	95.0	not changed	374.0
TFAP2E	HOXD3	hoxd3.s	3.687704038870567	-1.031478231473168	35.5	not changed	374.0
TFAP2E	PLK3	plk3.l	3.611706644537852	-1.1865678700253972	360.5	not changed	414.0
TFAP2E	PLK3	plk3.s	3.611706644537852	-0.0022630515085689	0.5	not changed	414.0
TFAP2E	RBBP6		3.606785222388728				87.0
TFAP2E	F11R		3.587389180924812				158.0
TFAP2E	EEF1D		3.582446577931987				141.0
TFAP2E	MYCN	mycn.l	3.550667650399804	-0.5849625007211563	106.0	not changed	531.0
TFAP2E	MYCN	mycn.s	3.550667650399804	-2.511290588840457	1086.0	decreased	531.0
TFAP2E	PTTG1		3.541982380419751				
TFAP2E	PHF20	phf20.l	3.5332050803008754	-0.8697208030179775	206.0	not changed	
TFAP2E	PHF20	phf20.s	3.5332050803008754	-0.6545966885582085	209.0	not changed	
TFAP2E	YIPF5	yipf5.s	3.525039053632749	-0.078956003679504	51.5	not changed	87.0
TFAP2E	INO80D	ino80d.s	3.5018102362317505	-0.0477878989542654	6.5	not changed	
TFAP2E	INO80D	ino80d.l	3.5018102362317505	-0.1380301508924458	12.5	not changed	
TFAP2E	KAZN	kazn.l	3.4802303272644566	-0.6697653417571419	141.5	not changed	116.0
TFAP2E	KAZN	kazn.s	3.4802303272644566	0.4070001802134256	22.0	not changed	116.0
TFAP2E	DDX21	ddx21.s	3.442391755809744	-0.2735164168232146	1772.5	not changed	207.0
TFAP2E	ATP6V1A		3.438921477605153				266.0
TFAP2E	NOP58		3.436518456248216				130.0
TFAP2E	DMBX1	dmbx1.l	3.435106701361218	1.400783515598602	292.0	not changed	237.0
TFAP2E	DMBX1	dmbx1.s	3.435106701361218	0.9902454324742664	366.0	not changed	237.0
TFAP2E	RBM39	rbm39.s	3.4156479092230145	0.3174278809392983	1130.0	not changed	104.0
TFAP2E	RBM39	rbm39.l	3.4156479092230145	0.173729311228915	433.5	not changed	104.0
TFAP2E	LMX1B		3.3979327180854706				111.0
TFAP2E	HIST1H2BM		3.376101012822527				
TFAP2E	AK2		3.348175405241941				
TFAP2E	ALKBH6	alkbh6.l	3.334860038819452	0.1905786726606547	37.0	not changed	
TFAP2E	OTX1	otx1.l	3.3045550229753133	0.6114147645536272	347.0	not changed	501.0
TFAP2E	OTX1	otx1.s	3.3045550229753133	1.7922387186235	287.0	increased	501.0
TFAP2E	GAL3ST1	gal3st1.l	3.2613000238730705	-3.5639008851933265	124.5	decreased	
TFAP2E	GAL3ST1	gal3st1.s	3.2613000238730705	-1.222392421336448	2.0	not changed	
TFAP2E	PDCD11		3.226027112611836				75.0
TFAP2E	MPHOSPH6	mphosph6.l	3.209087491502356	-0.3821775440174561	215.5	not changed	
TFAP2E	MPHOSPH6	mphosph6.s	3.209087491502356	-0.3891649741118382	165.5	not changed	
TFAP2E	LRRC8E	lrrc8e.l	3.1931792110006136	1.4626820471994528	1628.0	increased	401.0
TFAP2E	DNAJC2	dnajc2.l	3.158084159048076	-0.3256024156968993	139.0	not changed	
TFAP2E	DNAJC2	dnajc2.s	3.158084159048076	-0.5132493294081546	838.5	not changed	
TFAP2E	CELSR1		3.1513437283497527				332.0
TFAP2E	TACSTD2		3.1456497681868285				72.0
TFAP2E	DCTD	dctd.l	3.120912178201301	-0.3092272161798305	30.0	not changed	
TFAP2E	VPS13A	vps13a.l	3.080530559372725	-0.6080177369488219	70.5	not changed	
TFAP2E	BMP2K	bmp2k.s	3.077334353265498	-0.9233787183970876	13.0	not changed	
TFAP2E	ARHGDIG	arhgdig.s	3.058132838218376	0.103191854623	75.0	not changed	200.0
TFAP2E	ARHGDIG	arhgdig.l	3.058132838218376	0.1815862049485623	151.5	not changed	200.0
TFAP2E	SRSF6	srsf6.s	3.050509232663322	0.2079510377326467	998.5	not changed	113.0
TFAP2E	PREX1	prex1.s	3.0490800035670182	-0.3615242692331573	65.5	not changed	340.0
TFAP2E	ALG11		3.046382281298923				
TFAP2E	FBLN1		3.0211931054568524				257.0
TFAP2E	HAUS3		3.007119703231682				
TFAP2E	ROR1	ror1.s	2.934485471817445	-0.5184670889342495	72.0	not changed	731.0
TFAP2E	ROR1	ror1.l	2.934485471817445	-1.7477186504630806	1418.5	decreased	731.0
TFAP2E	GADD45G	gadd45g.l	2.930985773178637	0.6743465569964463	245.5	not changed	
TFAP2E	GADD45G	gadd45g.s	2.930985773178637	-0.1789701410453194	31.5	not changed	
TFAP2E	PAQR3		2.9271526871267124				
TFAP2E	RBM27	rbm27.l	2.9208116505176265	0.051112963591688	35.0	not changed	201.0
TFAP2E	RBM27	rbm27.s	2.9208116505176265	-0.4428002875182498	312.0	not changed	201.0
TFAP2E	FKBP14	fkbp14.l	2.90628740776489	0.1345421233788277	45.5	not changed	
TFAP2E	TBRG4	tbrg4.l	2.885438424811952	-0.1536051980415514	136.5	not changed	46.0
TFAP2E	HOXB6	hoxb6.s	2.819451641761515	-1.0874628412503395	4.5	not changed	103.0
TFAP2E	HOXB6	hoxb6.l	2.819451641761515	0.0	0.0	not changed	103.0
TFAP2E	MMACHC	mmachc.l	2.813859630022195	0.1651484695019721	79.5	not changed	
TFAP2E	UBA52		2.809137218437125				51.0
TFAP2E	SNRNP70	snrnp70.l	2.796462312820905	-0.0610107622567978	276.5	not changed	
TFAP2E	SNRNP70	snrnp70.s	2.796462312820905	0.1298132334675237	563.5	not changed	
TFAP2E	ZNF326	znf326.l	2.762034106438666	0.3887508077585681	668.0	not changed	
TFAP2E	ZNF326	znf326.s	2.762034106438666	0.228086341074318	1287.0	not changed	
TFAP2E	BAZ2B	baz2b.l	2.743690867272621	-1.5876465852923676	538.5	decreased	359.0
TFAP2E	BAZ2B	baz2b.s	2.743690867272621	-1.0038217109524084	189.5	not changed	359.0
TFAP2E	EGR2	egr2.l	2.7399685608193867	-1.1950159824051427	612.5	decreased	274.0
TFAP2E	SMC2		2.713316960335386				
TFAP2E	RIOX1		2.709589285442363				390.0
TFAP2E	RRP7A		2.6927853718047445				
TFAP2E	UBTF	ubtf.l	2.6819188827196725	-0.2754910998751546	598.5	not changed	119.0
TFAP2E	UBTF	ubtf.s	2.6819188827196725	-0.2789172765110022	547.5	not changed	119.0
TFAP2E	TRAK1		2.65966509968857				299.0
TFAP2E	PNN	pnn.l	2.65611359938003	0.1319531261416569	178.0	not changed	63.0
TFAP2E	PNN	pnn.s	2.65611359938003	-0.0745779354234651	195.5	not changed	63.0
TFAP2E	ETFA		2.6504593960189973				
TFAP2E	UTP23	utp23.l	2.641570509393964	0.0298103886030943	19.5	not changed	
TFAP2E	UTP23	utp23.s	2.641570509393964	1.0088781513464529	41.0	not changed	
TFAP2E	CCDC14		2.632561528337256				282.0
TFAP2E	LAS2		2.6064900123529493				140.0
TFAP2E	DDIT4	ddit4.l	2.600602070771766	-1.09412217736455	454.5	not changed	372.0
TFAP2E	DDIT4	ddit4.s	2.600602070771766	-0.9766114564824154	812.5	not changed	372.0
TFAP2E	PRDX3	prdx3.l	2.5942414894038257	1.0498605145267248	243.5	not changed	
TFAP2E	PRDX3	prdx3.s	2.5942414894038257	-0.274941172517968	19.0	not changed	
TFAP2E	DUSP5	dusp5.s	2.5902859431075043	0.6493530879911109	68.5	not changed	359.0
TFAP2E	DUSP5	dusp5.l	2.5902859431075043	1.1728365968622154	517.5	increased	359.0
TFAP2E	GPATCH8		2.574706995627998				35.0
TFAP2E	MEIS1	meis1.l	2.57103178301424	-1.523561956057013	330.0	decreased	288.0
TFAP2E	EPHA4		2.523193187673443				366.0
TFAP2E	UPF3B	upf3b.l	2.509560843587088	-0.1281860807562111	124.0	not changed	83.0
TFAP2E	UPF3B	upf3b.s	2.509560843587088	0.494600621728261	174.0	not changed	83.0
TFAP2E	CDH11	cdh11.l	2.509350440279802	0.1828640571498104	2.5	not changed	
TFAP2E	CDH11	cdh11.s	2.509350440279802	-2.1699250014423126	7.0	not changed	
TFAP2E	PHF20L1		2.4865567678437697				80.0
TFAP2E	SART1	sart1.s	2.478542827714944	-0.0687779300274708	188.5	not changed	
TFAP2E	BRD4	brd4.l	2.4782504824809983	0.12125417210486	137.0	not changed	290.0
TFAP2E	BRD4	brd4.s	2.4782504824809983	-0.1028484075917501	105.0	not changed	290.0
TFAP2E	CDC34	cdc34.l	2.45953161054804	0.2254542991377461	426.5	not changed	
TFAP2E	CDC34	cdc34.s	2.45953161054804	0.3900508158068153	565.0	not changed	
TFAP2E	FBN2		2.452575446472001				32.0
TFAP2E	COX17	cox17.l	2.436411335849769	-0.3584539709124763	104.5	not changed	
TFAP2E	COX17	cox17.s	2.436411335849769	0.1135950318419597	14.5	not changed	
TFAP2E	TIMM17A		2.42252066395959				242.0
TFAP2E	SRSF9		2.421345031707481				
TFAP2E	ZIC1	zic1.s	2.4205059328535325	0.7833942799926494	478.5	not changed	159.0
TFAP2E	ZIC1	zic1.l	2.4205059328535325	-1.6285699436950634	988.5	decreased	159.0
TFAP2E	EMC1	emc1.l	2.415372677956416	0.091035076153623	17.0	not changed	68.0
TFAP2E	EMC1	emc1.s	2.415372677956416	-0.0059615582387168	9.0	not changed	68.0
TFAP2E	ARID1B		2.38796006655188				48.0
TFAP2E	NUAK1	nuak1.l	2.343432917131877	-1.3701832634945836	233.0	not changed	953.0
TFAP2E	NUAK1	nuak1.s	2.343432917131877	-0.5100004430399342	33.5	not changed	953.0
TFAP2E	EFNB2		2.3250346883394637				223.0
TFAP2E	DOCK7		2.321096755441456				103.0
TFAP2E	MTF2	mtf2.s	2.310190680162173	-0.3110048038954532	210.5	not changed	99.0
TFAP2E	MTF2	mtf2.l	2.310190680162173	-0.3269374577011072	468.0	not changed	99.0
TFAP2E	RSL24D1		2.302644530978831				
TFAP2E	PFDN1		2.2935056656152906				
TFAP2E	HNRNPC		2.271932522925317				
TFAP2E	MAK16	mak16.l	2.27030594272435	0.0144079577199651	24.5	not changed	
TFAP2E	MAK16	mak16.s	2.27030594272435	-0.3816101223252063	195.0	not changed	
TFAP2E	LDLR		2.2376259492778585				47.0
TFAP2E	TBC1D16	tbc1d16.s	2.2373931349007044	-0.913808566946316	141.0	not changed	93.0
TFAP2E	SCHIP1		2.236965138037914				534.0
TFAP2E	AP4S1	ap4s1.l	2.236552594823833	0.5259025163482993	53.0	not changed	846.0
TFAP2E	NCOA2		2.2332724325752102				632.0
TFAP2E	PMM1	pmm1.l	2.2320633564442107	-0.3649286509808049	107.5	not changed	331.0
TFAP2E	UQCRH		2.2209113062321117				
TFAP2E	AKAP12		2.2132428722442				279.0
TFAP2E	SDAD1	sdad1.s	2.2119695628547507	-0.1249713003168502	175.0	not changed	128.0
TFAP2E	FOLR1	folr1.l	2.210022056464259	0.7369655941662062	2.0	not changed	224.0
TFAP2E	C1ORF52	c1orf52.s	2.1984302198410486	0.5495297611530541	379.0	not changed	571.0
TFAP2E	C1ORF52	c1orf52.l	2.1984302198410486	0.1521414084867059	58.0	not changed	571.0
TFAP2E	DPY30	dpy30.l	2.196410282895441	0.3892460108776869	159.5	not changed	
TFAP2E	DPY30	dpy30.s	2.196410282895441	0.617854382278531	212.5	not changed	
TFAP2E	FKBP11	fkbp11.l	2.193809706712987	-0.5865917443058146	74.0	not changed	
TFAP2E	FKBP11	fkbp11.s	2.193809706712987	0.3410369178350669	4.0	not changed	
TFAP2E	HIC2	hic2.l	2.192790063378044	-1.0942241310086962	803.0	decreased	975.0
TFAP2E	HIC2	hic2.s	2.192790063378044	-0.6062619025216123	99.5	not changed	975.0
TFAP2E	UBE2L3	ube2l3.l	2.1757188539860195	0.0462907222567616	84.5	not changed	154.0
TFAP2E	UBE2L3	ube2l3.s	2.1757188539860195	0.1396398928148465	252.5	not changed	154.0
TFAP2E	CCSER2	ccser2.l	2.161107197372193	-0.3324887401468473	63.5	not changed	188.0
TFAP2E	FGF9	fgf9.l	2.156300724091904	-2.0	1.5	not changed	379.0
TFAP2E	FGF9	fgf9.s	2.156300724091904	-3.0	7.0	not changed	379.0
TFAP2E	HNRNPA0	hnrnpa0.s	2.150076113574556	0.495136572371716	1204.0	not changed	
TFAP2E	HIPK1		2.1437237225035006				87.0
TFAP2E	SLC4A7		2.140292427734672				629.0
TFAP2E	LLPH	llph.s	2.119932442822038	-0.2615158935086195	551.0	not changed	
TFAP2E	NSUN5	nsun5.l	2.1085677808415557	-0.2534815154930118	162.5	not changed	
TFAP2E	EIF3K	eif3k.l	2.106780861105327	-0.2147321554414266	184.0	not changed	74.0
TFAP2E	EIF3K	eif3k.s	2.106780861105327	-0.3067515636289172	403.0	not changed	74.0
TFAP2E	CFL1	cfl1.s	2.103686450796227	-0.0069688814903397	12.5	not changed	
TFAP2E	CFL1	cfl1.l	2.103686450796227	-0.2074529653553719	549.0	not changed	
TFAP2E	SEMA4C	sema4c.l	2.1003197630553365	-0.5940838906897046	120.5	not changed	579.0
TFAP2E	SEMA4C	sema4c.s	2.1003197630553365	-0.2088088912015098	155.5	not changed	579.0
TFAP2E	SLC2A1		2.0994188409508387				214.0
TFAP2E	INKA1		2.0983293732506167				879.0
TFAP2E	DHX37		2.09282773971365				
TFAP2E	RASSF1		2.091701478371389				231.0
TFAP2E	SNRPD3		2.0844802724306573				65.0
TFAP2E	PCNA		2.070678421514216				
TFAP2E	DPYSL2	dpysl2.l	2.0704461424919063	2.2467217506981885	354.0	increased	175.0
TFAP2E	DPYSL2	dpysl2.s	2.0704461424919063	0.0163018123291006	1.0	not changed	175.0
TFAP2E	LRP12		2.066599077284238				141.0
TFAP2E	PINX1	pinx1.l	2.064239989385162	0.2550965864091534	211.5	not changed	220.0
TFAP2E	LMNB1		2.061712233664464				160.0
TFAP2E	SOX13	sox13.s	2.05902244450717	-0.724829851365637	880.5	not changed	92.0
TFAP2E	UHRF1		2.051560349431417				
TFAP2E	EIF4A3		2.0495345262597597				119.0
TFAP2E	TNS1	tns1.s	2.031747040134746	-1.3625700793847082	5.5	not changed	1199.0
TFAP2E	TNS1	tns1.l	2.031747040134746	-3.212819094629647	335.0	decreased	1199.0
TFAP2E	GHITM		2.0309876998562246				37.0
